model,target,train_size,mae,rmse,r2,spearman
random_forest,VQ,300,0.05053677562735359,0.06038778489660325,0.652064204514194,0.8061717510139305
mlp,CQ,300,0.08140610443085775,0.10665693344635094,0.7943461565290963,0.9065924377156964
mlp,AQ,300,0.07024971830338113,0.08535340428259888,0.811825355238885,0.9057661788044435
mlp,HQ,300,0.07201358760189079,0.08935979629026178,0.7063296340637617,0.8518275940247374
mlp,VQ,300,0.07076224269909337,0.08855038154216226,0.2518618767634284,0.629080283144822
xgboost,CQ,300,0.06555039911818443,0.08318149697221575,0.8749130197014311,0.9285890621457542
xgboost,AQ,300,0.0652833425481443,0.08097393927145416,0.8306403508920769,0.9170012847318437
xgboost,HQ,300,0.06682162901391264,0.0810735477764004,0.7582680026120139,0.8922235937224475
xgboost,VQ,300,0.05036988635752794,0.061628243340384775,0.6376231131365011,0.7916215331133335
lightgbm,CQ,300,0.0653228012209011,0.08458464844331312,0.8706573537864748,0.9288107413658463
lightgbm,AQ,300,0.06893435415267465,0.08224166819892834,0.8252958457895401,0.9089704511675945
lightgbm,HQ,300,0.06752853069819004,0.086693108980484,0.7235956077528225,0.873632768219261
lightgbm,VQ,300,0.05060841807953397,0.06328471310933186,0.6178810782988551,0.7949870267274606
